feature,description,units,этап,установка,показатель)
f_0,Установка ректификации. Синтез. Массовая доля этана,% (массовая доля),Синтез,Установка ректификации, Массовая доля этана
f_1,Установка ректификации. Синтез. Массовая доля этилена (поток 1),% (массовая доля),Синтез,Установка ректификации, Массовая доля этилена (поток 1)
f_2,Установка ректификации. Синтез. Массовая доля этилена (поток 2),% (массовая доля),Синтез,Установка ректификации, Массовая доля этилена (поток 2)
f_3,Синтез. Установка ректификации. Содержание компонента 1 в этане,% (массовая доля),Синтез, Установка ректификации, Содержание компонента 1 в этане
f_4,Синтез. Установка ректификации. Содержание компонента 2 в этане,% (массовая доля),Синтез, Установка ректификации, Содержание компонента 2 в этане
f_5,Синтез. Установка ректификации. Содержание компонента 3 в этане,% (массовая доля),Синтез, Установка ректификации, Содержание компонента 3 в этане
f_6,Синтез. Установка ректификации. Содержание компонента 4 в этане,% (массовая доля),Синтез, Установка ректификации, Содержание компонента 4 в этане
f_7,Синтез. Установка ректификации. Содержание суммы тяжелых углеводородов в этане,% (массовая доля),Синтез, Установка ректификации, Содержание суммы тяжелых углеводородов в этане
f_8,Синтез. Установка дегидрирования. Расход этана от фильтров сырья в узле сепарации (поток А),кг/ч,Синтез, Установка дегидрирования, Расход этана от фильтров сырья в узле сепарации (поток А)
f_9,Синтез. Установка дегидрирования. Расход этана от фильтров сырья в узле сепарации (поток B),кг/ч,Синтез, Установка дегидрирования, Расход этана от фильтров сырья в узле сепарации (поток B)
f_10,Синтез. Установка дегидрирования. Расход этана от фильтров сырья в узле сепарации (поток C),кг/ч,Синтез, Установка дегидрирования, Расход этана от фильтров сырья в узле сепарации (поток C)
f_11,Синтез. Установка дегидрирования. Расход рецеркулирующего газа от узла сепарации в сырье (поток А),кг/ч,Синтез, Установка дегидрирования, Расход рецеркулирующего газа от узла сепарации в сырье (поток А)
f_12,Синтез. Установка дегидрирования. Расход рецеркулирующего газа от узла сепарации в сырье (поток B),кг/ч,Синтез, Установка дегидрирования, Расход рецеркулирующего газа от узла сепарации в сырье (поток B)
f_13,Синтез. Установка дегидрирования. Расход рецеркулирующего газа от узла сепарации в сырье (поток C),кг/ч,Синтез, Установка дегидрирования, Расход рецеркулирующего газа от узла сепарации в сырье (поток C)
